Medical Text_eng,Medicine\ Chemical Name_eng,Organ_eng,Disease_eng,Hormones_eng,Pharmacological Class_eng,Common Medical Terms_eng
"Allergic reactions to Cefdinir: rash, itching or swelling of the face, tongue or throat, severe dizziness, trouble breathing",Safedini's,"Mouth, tongue, throat",Allergic reaction,,Third generation antibiotics,Breathing problems
"Common side effects associated with cefdinir include: Liver problems: nausea or vomiting that doesn't stop, loss of appetite, stomach pain",Safedini's,Liver," Loss of appetite, vomiting",,Third generation antibiotics,Side effects
"There are side effects associated with cefdinir: such as: Liver problems: yellowing of the eyes or skin, dark urine",Safedini's,"Liver, eyes",Dark urine,,Third generation antibiotics,Side effects
Side effects of cefdinir include kidney problems such as: changes in the amount of urine,Safedini's,Kidney,Kidney problems,,Antibiotics,Side effects
"Do not take cefdinir if you are allergic to cefdinir or to antibiotics such as Ceftin, Cefzil, Keflex, etc. Tell your doctor about any drug allergies, especially to penicillin.",Safedini's,,Allergy,,Cephalosporin antibiotics," Ceftin, Cefzil, Keflex, Allergy, Penicillin"
"Before taking cefdinir, it is very important to consider the following precautions: Medical conditions: Kidney disease: If you have a history of kidney disease or are on dialysis, tell your doctor before starting treatment with cefdinir. Bowel problems: Tell your doctor if you have bowel problems such as colitis, as cefdinir may worsen these conditions.",Safedini's,"Kidneys, intestines",Colitis,,Third generation antibiotics,Dialysis
"Cefdinir is an antibiotic drug that belongs to the cephalosporin class of antibiotics. It works by inhibiting the synthesis of bacterial cell walls, which ultimately leads to the death of the bacteria.",Safedini's,,Bacterial infection,,Cephalosporin antibiotics,"Antibiotics, bacterial cell wall"
"Cefdinir binds to and blocks the activity of enzymes responsible for the production of peptidoglycan, an essential component of the bacterial cell wall. Specifically, cefdinir binds to penicillin-binding proteins on the bacterial cell surface, inhibiting the final step of transpeptidation in cell wall synthesis. This interference with cell wall synthesis ultimately leads to cell lysis (rupture) and death of susceptible bacteria. Cefdinir has shown affinity for penicillin-binding proteins 2 and 3, which are involved in cell wall synthesis and maintenance.",Safedini's,,Bacterial infection,,Antibiotics,"Peptidoglycan, penicillin-binding protein, transpeptidation"
"Cefdinir is indicated in the following indications - Community acquired pneumonia, acute exacerbation of chronic bronchitis, acute maxillary sinusitis, pharyngitis/tonsillitis, acute bacterial otitis media and complicated skin and skin structure infections.",Safedini's,Lungs and respiratory system,"Pneumonia, bronchitis, sinusitis, pharyngitis, tonsillitis, otitis media",,Antibiotics,Infection
"Common side effects of cefdinir include: black, tarry stools, diarrhea, chest pain, chills, cough, fever, painful or difficult urination, shortness of breath, hoarseness, sores or ulcers, swollen glands, bleeding or bruising, nausea, weakness, nausea, vomiting, headache, rash, high fever, hives, increased thirst, inflammation of the joints, irregular breathing, fast heartbeat.",Safedini's,"Stomach, heart, lungs, kidneys","Diarrhea, ulcers, rash",,Antibiotics,Side effects
"While taking cefdinir, you should avoid consuming dairy products, calcium-fortified foods, and antacids containing aluminum or magnesium within 2 hours before or after taking the medication. These substances can bind to cefdinir and reduce its absorption, making it less effective.",Safedini's,,,,Antibiotics,Antacid
"Diarrhea is one of the most common side effects of cefdinir and other antibiotics. Antibiotics can disrupt the balance of good bacteria in the gut, leading to diarrhea.",Safedini's,Intestines,Diarrhea,,Antibiotics,Side effects
Fexofenadine is a member of the antihistamine or anti-allergic class of drugs.,Fexofenadine,,Allergy,,Antihistamine,Medicine
"Fexofenadine is mostly used to treat various allergies. It is possible to treat medical conditions using a selective peripheral H1-blocker. The active ingredient in fexofenadine is fexofenadine, a non-drowsy antihistamine. Although some people still report feeling sleepy after taking it, it is used to treat allergies because it blocks the action of histamine, a chemical commonly associated with allergic reactions.",Fexofenadine,Peripheral H1 receptors,Allergy,,Antihistamine,Histamine
"Before taking fexofenadine, read the package instructions if you are using an over-the-counter medicine for your treatment. Take the medicine as directed by your doctor, usually twice daily, if it has been prescribed for you. This medicine may be taken with or without food and liquid.",Fexofenadine,,,,Antihistamine,Over-the-counter medications
"Fexofenadine has side effects such as headache, drowsiness, dry mouth, feeling sick, and dizziness. Common adverse effects include:",Fexofenadine," Brain, mouth",Illness,,Antihistamine," Sick, side effects"
"Cough, fever or stomach pain are possible. If any of these symptoms persist or worsen, tell your doctor or pharmacist immediately as they may be due to taking fexofenadine.",Fexofenadine," Lungs, stomach","Fever, cough",,Fexofenadine,Symptoms
"Symptoms of an ear infection include ear pain, hearing difficulties, and ear discharge, which are known side effects of fexofenadine.",Fexofenadine,Ear,Ear discharge,,Antihistamine,Ear infection
"Fexofenadine rarely causes a very serious allergic reaction. However, seek immediate medical attention if you have signs of a serious allergic reaction, such as rash, itching, or swelling (especially of the face, tongue, or neck), severe dizziness, or difficulty breathing.",Fexofenadine,"Mouth, tongue, neck","Allergy, rash",,Antihistamine,Treatment
"If you are allergic to fexofenadine, any other medications, or any of the ingredients in fexofenadine pills or suspension, tell your doctor and pharmacist immediately. Tell your doctor about all prescription and over-the-counter medications, vitamins, dietary supplements, and herbal items you are taking. Your doctor may need to adjust the dosage of your medications or monitor you for adverse effects. Tell your doctor if you have kidney problems.",Fexofenadine,Kidney,"Kidney problems, allergies",,Antihistamine,"Dosage, prescription"
"If the antacid contains aluminum or magnesium, use the antacid a few hours before or after taking fexofenadine. Fruit juices such as grapefruit, apple, or orange should not be used with the medication because they can reduce the absorption of the medication. Therefore, the medication should always be taken with water. This medication may be considered during pregnancy if absolutely necessary. Before using this medication, discuss the risks and benefits with your doctor.",Fexofenadine,Stomach,Allergy,,Antihistamine,"Antacids, pregnancy"
"Take the missed dose of fexofenadine as soon as you remember if you take it once daily unless it is almost time for your next dose. If you miss a dose, skip it and take your next dose as scheduled. Do not take two doses at once to make up for a missed one.",Fexofenadine,,,,Antihistamine,Dosage
The storage conditions for fexofenadine are: Do not allow children or animals to access this medicine. Store items at room temperature 20 to 25 degrees Celsius (68 - 77 degrees Fahrenheit) and protect from moisture. Remove the original blister packaging immediately before use. Throw away any unused medicine after the expiration date.,Fexofenadine,,,,Antihistamine," Blister packing, unused medicine"
"Drug interactions can change the effects of fexofenadine and cause serious adverse effects. When used with other sleep-inducing drugs, fexofenadine can increase this effect. Before using an opioid, a sleeping aid, a muscle relaxant, or a prescription for seizures or anxiety, see your doctor. Before using fexofenadine with any other drugs, consult your doctor, especially if you are taking:antibiotics such as penicillin",Fexofenadine,Eyes,"Drowsiness, seizures",,Antihistamine,"Drug interactions, opioids, penicillin"
"Fexofenadine is an antihistamine medication that relieves allergy symptoms. It is used to treat the following conditions: hay fever, conjunctivitis, etc.",Fexofenadine," Nose, eyes","Hay fever, conjunctivitis",,Antihistamine,Allergy
"Fexofenadine side effects: Headache, menstrual pain, dizziness, back pain, leg pain or discomfort in the limbs.",Fexofenadine,"Head, back, legs",Migraine,,Antihistamine,Discomfort in the limbs
"Fexofenadine, an antihistamine, can help relieve symptoms of a runny nose caused by allergies. It can also relieve other allergy symptoms, such as sneezing and itchy or watery eyes.",Fexofenadine,"Nose, eyes",Allergy,,Antihistamine,"Allergy, cold"
"The purpose of fexofenadine is to manage allergy symptoms, including runny nose, sneezing, and itchy or watery eyes, by blocking the effects of histamine in the body.",Fexofenadine,"Nose, eyes",Allergy,Histamine,Antihistamine,Histamine
"Fexofenadine often begins to work within one to two hours of ingestion, with peak efficacy reaching around two to three hours. It provides 24-hour relief, making it suitable for once-daily dosing.",Fexofenadine,,,,Antihistamine,Dosage
"Montelukast is a drug that belongs to the leukotriene receptor antagonist class. It is a commonly prescribed medication for asthma, allergic rhinitis, and bronchospasm.",Montelukast,"Lungs, bronchi","Asthma, allergic rhinitis, bronchospasm",,Leukotriene receptor antagonist,"Medication, asthma, allergic rhinitis"
"Montelukast is a medication that is effective in relieving allergy symptoms, including sneezing, runny nose, itching, etc.",Montelukast,Nose,Allergy,,Leukotriene receptor antagonist,"Medicine, allergies"
"The primary mechanism of action of the drug montelukast is to block agents that cause allergy symptoms, called leukotrienes. In addition, it reduces inflammation in the respiratory tract and controls other allergy symptoms.",Montelukast,Respiratory system,Allergy,,Leukotriene receptor antagonist,"Leukotrienes, respiratory, symptoms"
"Montelukast is effective in both the management and prevention of chronic asthma, helping individuals control their symptoms and reduce the frequency of asthma attacks.",Montelukast,Lungs,Asthma,,Leukotriene receptor antagonist," Asthma, symptoms, frequency"
"Some uses of montelukast include: Prevention of exercise-induced bronchospasm: It protects against bronchospasm caused by physical exertion, allowing people with asthma to exercise without shortness of breath.",Montelukast,Trachea,Asthma,,Leukotriene receptor antagonist,"Shortness of breath, exercise-induced bronchospasm"
"Montelukast provides relief from allergic rhinitis symptoms, such as sneezing, runny nose, and nasal congestion, improving overall comfort.",Montelukast,Nose,Allergic rhinitis,,Leukotriene receptor antagonist,Allergic
"Some uses of montelukast include: Hay fever symptom relief: It relieves the discomfort associated with hay fever, addressing symptoms such as itching, watery eyes, and nasal congestion. This makes it a useful choice during allergy season.",Montelukast,"Nose, eyes",Hay fever,,Leukotriene receptor antagonist,Symptoms
"Take montelukast as directed by your doctor. It is most often taken as a tablet by mouth, about 15 minutes after a meal. The tablet is also available in a chewable form for younger children. Consistency is important when taking this medication, so it is important to take it at the same time each day or as directed by your doctor. If you are using it to manage both asthma and allergies, taking it in the evening is also a good option. However, it can be taken in the morning or at night, depending on your personal preference.",Montelukast,"Trachea, nose",Asthma,,Leukotriene receptor antagonist,Tablet
"If montelukast is taken for exercise-induced asthma, it should be taken at least one to two hours before exercise. The medications should be continued even if your asthma seems under control, unless your doctor tells you to stop.",Montelukast,Lungs,Exercise-induced asthma,,Leukotriene receptor antagonist,Asthma control
"Montelukast is a medication primarily used to manage asthma and allergic rhinitis (hay fever). It works by targeting and blocking leukotrienes, which are inflammatory substances produced by the immune system.",Montelukast,"Lungs, nose","Asthma, allergic rhinitis",,Leukotriene receptor antagonist," Leukotrienes, inflammation, immune system"
"Leukotriene Inhibition: Montelukast is classified as a leukotriene receptor antagonist. It works by specifically blocking leukotriene receptors in the body. Leukotrienes are substances that play an important role in inflammation, bronchoconstriction (narrowing of the airways), and mucus production in the lungs.",Montelukast,"Lungs, trachea",Bronchoconstriction,,Leukotriene receptor antagonist,Leukotriene inhibition
"Preventing airway inflammation: In conditions like asthma, allergens or irritants can trigger the release of leukotrienes, which cause inflammation and narrowing of the airways. By blocking leukotriene receptors, montelukast helps prevent this inflammatory response. This action helps reduce swelling and inflammation in the airways, making it easier to breathe.",Montelukast,Trachea,Asthma,,Leukotriene receptor antagonist,"Respiratory tract inflammation, allergens"
"Reduction of bronchoconstriction: Leukotrienes can constrict the smooth muscles around the airways, which can cause bronchoconstriction and difficulty breathing, especially in people with asthma. Montelukast's ability to inhibit leukotrienes helps relax these muscles and prevent airway constriction.",Montelukast,Trachea,"Bronchoconstriction,",Leukotrienes,Leukotriene receptor antagonist,Bronchoconstriction
"Allergic Rhinitis Management: Montelukast is also effective in managing allergic rhinitis (hay fever) by reducing inflammation in the nasal passages caused by allergens. It can help relieve symptoms such as nasal congestion, sneezing, runny nose, and itching.",Montelukast,Nasal passages,Allergic rhinitis,,Leukotriene receptor antagonist,"Allergens, nasal congestion"
"Uses for asthma and allergic conditions: Montelukast is usually taken regularly to control and prevent asthma symptoms and allergic reactions. It is often prescribed as part of a comprehensive treatment plan for asthma or allergic rhinitis. It is not used for the immediate relief of acute asthma attacks; instead, it is used to prevent symptoms over the long term.",Montelukast,Lungs,"Asthma, allergic rhinitis",,Leukotriene receptor antagonist,"Symptoms, prevention"
"Most people who use montelukast do not experience side effects, but the following effects are possible: numbness and tingling in the hands and feet, body aches or pains, flu-like symptoms, headache.",Montelukast,"Hands, feet",Flu,,Leukotriene receptor antagonist,"Side effects, numbness"
"Side effects of Montelukast: Anxiety and irritability, depression, confusion, clouded memory and attention, tremors and uncontrolled movements, sleep problems, compulsive behavior. This list is not all inclusive, and others may occur. If you experience any of the above or any other, tell your doctor immediately.",Montelukast,Brain,Mental illness,,Leukotriene receptor antagonist,Side effects
"Before taking montelukast, tell your doctor about any previous allergies, as this product may cause allergic reactions in some people.",Montelukast,"Nose, ears",Allergy,,Leukotriene receptor antagonist,Allergic reaction
"Before taking montelukast, mention your medical history to your doctor, including liver conditions, mental and emotional conditions including anxiety, depression, etc.",Montelukast,Liver,Mental state,,Leukotriene receptor antagonist,Mental state
"Before undergoing any dental treatment, mention the use of montelukast to your dentist. If you are pregnant or breastfeeding, tell your doctor before taking this medicine.",Montelukast,"Teeth, chest","Asthma, allergies",,Leukotriene receptor antagonist,Dentist
"Missed doses are not a problem; you can always contact your doctor in any case. If a dose of Montelukast is missed, skip that dose and go to the next regularly scheduled dose. Do not double the dose to make up for the missed dose. It is recommended not to take more than the prescribed dose in a 24-hour period.",Montelukast,Lungs,Asthma,,Leukotriene receptor antagonist,Dosage
"Montelukast overdose may cause symptoms such as vomiting, severe stomach cramps, increased thirst, and drowsiness. In case of an overdose, call your doctor immediately to get emergency medical attention.",Montelukast,Stomach,Symptoms,,Leukotriene receptor antagonist," Overdose, medical emergency"
"Montelukast should be stored in a cool, dry place away from light and heat. Keep this medicine away from moisture contamination, especially do not store it in the bathroom. You should keep it away from children and pets.",Montelukast,,,,Leukotriene receptor antagonist,Montelukast
"Montelukast reaches peak concentrations approximately 2-4 hours after ingestion. For exercise-induced asthma, it should be taken at least 2 hours before any exercise.",Montelukast,,Exercise-induced asthma,,Leukotriene receptor antagonist,Exercise
"Suicidal thoughts and behavior: Montelukast has been associated with rare cases of suicidal thoughts or behavior. Patients should be monitored for changes in mood or behavior, especially at the beginning of treatment. Neuropsychiatric Events: Some patients may experience neuropsychiatric events such as agitation, aggression, hallucinations, depression, or anxiety while taking montelukast. These symptoms should be reported immediately to a healthcare provider.",Montelukast,"Nerves, brain",Neurological disease,,Leukotriene receptor antagonist,"Healthcare, Neuropsychiatric Events"
"Churg-Strauss Syndrome: Montelukast should be used with caution in patients with a history of Churg-Strauss Syndrome, a rare condition that causes inflammation of the blood vessels. Liver Function Monitoring: Liver function tests should be performed periodically, especially in patients with pre-existing liver disease.",Montelukast,Liver,"Churg-Strauss syndrome, liver disease",,Leukotriene receptor antagonist,Function test
"Allergic reactions: Serious allergic reactions to montelukast are rare but possible. Seek immediate medical attention if you develop signs of an allergic reaction (such as rash, itching, swelling, severe dizziness, difficulty breathing). Use in pregnancy and breastfeeding: Montelukast should be used during pregnancy only if clearly needed and under the supervision of a healthcare provider. It is unknown whether montelukast passes into breast milk, so consult a doctor before breastfeeding while taking this medication.",Montelukast,Book,"Allergic reactions, asthma",,Leukotriene receptor antagonist,"Medical advice, doctor"
"Persistent low mood, lack of motivation, and constant anxiety can have a huge impact on your mental health. For such conditions or health challenges, escitalopram, an antidepressant (selective serotonin reuptake inhibitor), provides relief.",Escitalopram,Brain,"Depression, anxiety disorder",Serotonin,"Selective serotonin reuptake inhibitor, antidepressant"," Mental health, antidepressants"
"Escitalopram tablets are a mood-enhancing drug. It increases the levels of serotonin in your brain. Serotonin affects mood, sleep, appetite, and more.",Escitalopram,Brain," Mood problems, depression",Serotonin,Selective serotonin reuptake inhibitors (SSRIs) antidepressants," Medicines, tablets"
"The drug escitalopram stops the removal of serotonin, so there is more serotonin to make you less depressed and anxious.",Escitalopram,Brain,Depression,Serotonin,(Selective serotonin reuptake inhibitor) antidepressant,Medicine
"Uses of escitalopram tablets include: Depression: This tablet is mainly used to treat major depression in adults and adolescents aged 12 years and older. It can help reduce symptoms such as ongoing sadness, lack of interest, sleep problems, and appetite changes.",Escitalopram,Brain,Depression,Serotonin,Antidepressant (selective serotonin reuptake inhibitor),"Symptoms, tablets"
" Generalized Anxiety Disorder: Escitalopram tablets are also approved for the treatment of generalized anxiety disorder in adults. It can help reduce excessive worry, agitation, irritability, and muscle tension brought on by this condition.",Escitalopram,Brain,Anxiety disorders,Serotonin,Antidepressant,Disease
"Like other medicines, this medicine can cause side effects. Some common escitalopram side effects include: nausea, dry mouth, increased sweating, dizziness, drowsiness, insomnia, decreased appetite, sexual dysfunction.",Escitalopram,"Head, stomach, mouth, brain","Mental health problems, sexually transmitted diseases",Serotonin,Antidepressant,Side effects
"Serious but rare escitalopram side effects may include: serotonin syndrome (a potentially life-threatening condition characterized by agitation, hallucinations, fever, and muscle stiffness)",Escitalopram,"Brain, muscle",Serotonin syndrome,Serotonin,Antidepressant (selective serotonin reuptake inhibitor),"Syndrome, side effects"
"It is essential to report any side effects of escitalopram to your healthcare provider immediately. Such as: suicidal behavior or thoughts (especially in children and young adults), unusual bleeding or bruising, heart attack.",Escitalopram,"Brain, heart","Heart attack, depression",Serotonin,Antidepressant (selective serotonin reuptake inhibitor),Side effects
For all first-time users of escitalopram who are using it to treat major depressive disorder - the initial dose is 5 mg once daily. The dose can be gradually increased to 20 mg once daily if necessary.,Escitalopram,Brain,Major depressive disorder,Serotonin,Antidepressant,"Dosage, Disorder"
"For generalized anxiety disorder, escitalopram is recommended to be taken at a dose of 5 mg once daily. If necessary, the dose can be increased to 20 mg, respectively. A daily dose of 5 mg is an appropriate starting dose for elderly patients and patients with compromised renal and hepatic function.",Escitalopram,"Kidney, liver",Anxiety disorders,Serotonin,Antidepressant," Disorders, liver function, dosage"
Escitalopram belongs to the selective serotonin reuptake inhibitor class of drugs. Its mechanism of action is to block the reabsorption of serotonin.,Escitalopram,Nervous system,Mood disorders,Serotonin,Selective serotonin reuptake inhibitors,"Medicine, resorption, block"
"Serotonin is a neurotransmitter that regulates mood, sleep cycles, appetite, and other bodily processes. By inhibiting the reuptake of serotonin, escitalopram increases its availability in the brain. This improves mood regulation and reduces symptoms of anxiety.",Escitalopram,Brain," Anxiety, mood problems",Serotonin,Antidepressant (selective serotonin reuptake inhibitor),Neurotransmitters
"Under no circumstances should escitalopram be used with other antidepressants as it can trigger a serious condition called serotonin syndrome, which can have fatal consequences.",Escitalopram,Brain,Serotonin syndrome,Serotonin,Antidepressant (selective serotonin reuptake inhibitor),Serotonin syndrome
"You must provide all other medical details you have before using escitalopram, including liver or kidney disease, seizures, bipolar disorder, and heart problems.",Escitalopram,"Kidneys, heart","Bipolar disorder, kidney disease",Serotonin,Antidepressant,Treatment
"Pregnant or breastfeeding women should consider the risks and rewards of escitalopram by discussing this issue with their healthcare provider. At the beginning of treatment with escitalopram, it is recommended to exercise caution to avoid negative effects such as drowsiness or dizziness while driving.",Escitalopram,Book,Physical symptoms,Serotonin,Antidepressant,Treatment
"If you miss a dose of escitalopram, take it as soon as you remember. However, if it is almost time for your next dose, take it as soon as you remember and continue with your regular schedule. Please do not take a double dose or make up for a missed dose.",Escitalopram,Face,Mental illness,Serotonin,Antidepressant,Dosage
"If you experience an overdose of escitalopram, you should see a healthcare professional or call a poison control center immediately. It can cause symptoms such as nausea, severe vomiting, fatigue, as well as tremors and seizures.",Escitalopram,Face,Physical symptoms,Serotonin,Selective serotonin reuptake inhibitors,Overdose
"Escitalopram is an effective antidepressant and anti-anxiety medication that can bring significant relief to people suffering from depression, panic disorder, and generalized anxiety disorder. It is necessary to follow the doctor's instructions to achieve good results. However, you must monitor your symptoms and inform your doctor of any developments or difficulties. When used appropriately, escitalopram is believed to help relieve symptoms and can contribute to ensuring a person's well-being.",Escitalopram,Brain,Panic disorder,Serotonin,Antidepressant," Symptoms, Medicine"
"Escitalopram is indicated for the following symptoms: Treatment of major depressive episodes, Treatment of panic disorder with or without agoraphobia, Treatment of social anxiety disorder, Treatment of generalized anxiety disorder, Treatment of obsessive-compulsive disorder.",Escitalopram,Brain,"Obsessive Compulsive Disorder, Panic Disorder, Agoraphobia",Serotonin,"Antidepressant, anti-anxiety","Agoraphobia, disorder"
"Escitalopram is an orally administered selective serotonin reuptake inhibitor. Escitalopram is the S-enantiomer of the racemic bicyclic thalene derivative escitalopram. Escitalopram is approximately 100 times more potent than the R-enantiomer in inhibiting serotonin reuptake. It has virtually no affinity for serotonergic, alpha and beta adrenergic, dopamine, histamine, muscarinic, and benzodiazepine receptors.",Escitalopram \ Escitalopram oxalate,Face,,Serotonin,Selective serotonin reuptake inhibitors,Benzodiazepine receptors
"Progesterone, a crucial hormone in the human body, plays an essential role in reproductive health and beyond. This powerful compound significantly influences a variety of bodily functions, from regulating the menstrual cycle to supporting pregnancy.",Progesterone,"Ovaries, uterus",,Progesterone,Hormones,"Reproductive health, hormones"
" The use of progesterone tablets during pregnancy has attracted attention for its potential to support early pregnancy and reduce the risk of certain complications. This article explores the main functions of progesterone, its benefits, and potential risks.",Progesterone,Uterus,Complications during pregnancy,Progesterone,Progestogen (hormone),Pregnancy
Progesterone is an important steroid hormone that plays a vital role in reproductive health.,Progesterone,Reproductive organs,,Steroid hormones,Progestogen,Reproductive health
"The body normally produces steroid hormones in the adrenal cortex, ovaries, and testicles. During pregnancy, the corpus luteum of the ovary secretes progesterone for the first ten weeks, then takes over the production of amniotic fluid.",Progesterone,"Adrenal cortex, ovaries, testicles",,Progesterone,Steroid hormones,Pregnancy
"Progesterone is derived from cholesterol, which binds to progesterone receptors throughout the body, regulating gene expression and influencing various bodily functions, especially within the reproductive system.",Progesterone,Reproductive system,,Progesterone,Steroid hormones,"Receptors, gene expression, physiological function"
Progesterone tablets play an important role in supporting pregnancy by preparing the inner lining of the uterus for implantation of a fertilized egg.,Progesterone,Uterus,,Progesterone,Hormones,"Fertilized egg, pregnancy"
"Progesterone tablets have a wide range of applications for reproductive health, including: Progesterone helps prevent miscarriage in women with a history of repeated pregnancy loss.",Progesterone,Uterus,Miscarriage,Progesterone,Hormonal,"Pregnancy, abortion, reproductive health"
Progesterone hormone tablets also regulate the menstrual cycle and treat amenorrhea.,Progesterone,"Uterus, ovaries",Amenorrhea,Progesterone,Hormones (progestogens),"Menstrual cycle, amenorrhea"
"In menopausal women, progesterone is used alongside estrogen to relieve symptoms such as hot flashes, night sweats, and vaginal dryness. Progesterone tablets help prevent endometrial hyperplasia in women taking estrogen after menopause.",Progesterone,Endometrium,Endometrial hyperplasia,"Progesterone, estrogen",Hormones,"Menopause, endometrial hyperplasia"
"Doctors prescribe progesterone hormone tablets with specific instructions, such as: Take the medicine only as prescribed, without increasing the dose or duration. Read the patient information leaflet thoroughly and ask questions if necessary. Swallow the tablet whole with a glass of water. If prescribed for hormone replacement or menstrual cycle control, take it at the same time every day. Do not skip a dose, but if you miss a dose, take it as soon as you remember unless it is close to your next scheduled dose.",Progesterone,Reproductive organs,"Hormonal problems, menstrual problems",Progesterone,Hormones,"Dosage, Tablets, Hormone Replacement, Menstrual Cycle"
"Progesterone hormone tablets can have both common and rare side effects. Common side effects include: chest pain, chills and fever, flu-like symptoms, cough",Progesterone," Chest, respiratory system",Flu,Progesterone,Hormones,"Symptoms, side effects"
"Common side effects of progesterone include: urinary problems, breast tenderness, joint pain.",Progesterone,"Urethral, breast",,Progesterone,Hormones,Side effects
" Less common effects of progesterone may include: breast changes such as discharge, dimpling or lumps, abdominal pain and bloating, blurred vision, changes in vaginal discharge.",Progesterone,"Breasts, eyes, vagina",Physical symptoms,Progesterone,Hormones,"Discharge, dimpling, lump"
"Less common effects of progesterone hormone tablets may include: Serious side effects such as shortness of breath, dizziness, or irregular heartbeat require immediate medical attention.",Progesterone," Lungs, heart",Shortness of breath,Progesterone,Hormones,Side effects
"Long-term use of progesterone, especially with estrogen, may increase the risk of stroke, blood clots, heart attack, or dementia.",Progesterone," Heart, brain","Stroke, heart attack, dementia","Progesterone, estrogen",Hormones,Dementia
" Allergies: Before starting treatment, individuals should inform their doctor about any allergies to progesterone, oral contraceptives, or other medications.",Progesterone,,Allergy,Progesterone,,Oral contraceptives
"Past medical history should be known before using progesterone: It is very important to disclose any history of unexplained vaginal bleeding, miscarriage, cancer, seizures, migraines, asthma, diabetes, depression, blood clots, or stroke.",Progesterone,Vagina,"Migraine, asthma, diabetes",Progesterone,Hormones,Stroke
"Systemic diseases: People with certain systemic diseases, such as liver, kidney, heart, or gallbladder disease, should not use progesterone without a prescription.",Progesterone,"Liver, kidney, heart",Systemic diseases,Progesterone,Hormones,Prescription
"Dizziness or drowsiness: Progesterone may cause dizziness or drowsiness, so caution is advised when driving or operating machinery. Breastfeeding mothers: It is not known to be safe to use progesterone while breastfeeding, so be safe and do not use it. Vaginal bleeding: Unexpected vaginal bleeding requires immediate medical attention.",Progesterone,"Chest, vagina, head",,Progesterone,Hormones,"Treatment, bleeding"
" Progesterone tablets work by mimicking the effects of progesterone naturally produced in the body. They affect a variety of bodily functions, especially those related to reproductive health.",Progesterone,"Ovaries, uterus",Gynecology,Progesterone,Hormones,Reproductive health
"Progesterone pills help regulate hormone levels, which can affect the health and appearance of the skin. During pregnancy, progesterone levels increase, contributing to changes in skin pigmentation and potentially causing melasma.",Progesterone,"Skin, face",Melasma,Progesterone,Hormones,"Hormone levels, pregnancy"
"During menopause, as estrogen and progesterone levels drop, collagen in the skin can be damaged, leading to wrinkles and dryness. Progesterone tablets can help address these issues by supplementing the body's natural hormone production.",Progesterone,Skin,Menopause,"Estrogen, progesterone",Hormones,Collagen
"The dosage of progesterone varies and depends on the specific medical condition. For the prevention of endometrial hyperplasia in postmenopausal women during estrogen therapy, the usual dose is 200 mg taken orally at bedtime for 28 consecutive days in 12-day cycles.",Progesterone,Reproductive organs,Endometrial hyperplasia,Progesterone,Female hormones,"Postmenopausal, estrogen therapy, dosage"
"To treat amenorrhea, adults usually take 400 mg of progesterone by mouth at bedtime for ten days. It is very important to follow the doctor's instructions or the label directions exactly. The dosage, frequency, and duration of treatment depend on the patient's specific medical problem and response to the medication. Patients should not change their dosage without consulting their doctor.",Progesterone,Ovary,Amenorrhea,Progesterone,Hormones,"Treatment, dosage, frequency"
"Progesterone plays an important role in reproductive health. It regulates the menstrual cycle, prepares the uterine lining for pregnancy, and supports implantation. This hormone thickens the uterine lining, reduces myometrial contractions, and inhibits lactation during pregnancy. It also influences the production of inflammatory mediators within the uterine cavity.",Progesterone,"Uterus, breasts",,Progesterone,Hormones,"Menstrual cycle, pregnancy"
" Prescription progesterone is generally safe when used as directed by a doctor. However, it may not be right for everyone. Progesterone should be avoided by those with breast cancer, liver disease, or undiagnosed vaginal bleeding.",Progesterone,"Breast, liver","Breast cancer, liver disease",Progesterone,Hormones,Doctor
"Some symptoms indicate low progesterone levels, such as mood swings, depression, anxiety, headaches, abdominal pain, spotting between periods, low blood sugar levels, and dryness in the vaginal area.",Progesterone,Vagina,"Mental symptoms, depression",Progesterone,Hormones,Period
"High progesterone symptoms include: Premenstrual syndrome, or PMS, associated with increased progesterone as your body prepares for pregnancy, including breast enlargement. Bloating, anxiety, fatigue, acne, weight gain, depression. Decreased libido.",Progesterone,Breast," Premenstrual syndrome, depression",Progesterone,Hormones,"Complications, syndrome"
"Progesterone secretion is reduced by nicotine, alcohol, or marijuana use. Cocaine use naturally increases dopamine release in the brain. Progesterone prevents this excess dopamine release.",Progesterone,Brain,Addiction,"Progesterone, dopamine",Hormones,Dopamine release
"Other roles of progesterone: Skin elasticity, respiration, bone formation and female sexual behavior control. Protecting against disease during pregnancy by increasing the number of stem cells by producing a growth factor called EGF-1. Controlling temperature during ovulation. Reducing the function of the gallbladder. Blood clotting, controlling the amount of zinc and copper, controlling the levels of oxygen and fat. Plays a role in protecting the gums. Plays a role in preventing uterine cancer. It controls insulin secretion and pancreatic function, especially which is helpful in preventing gestational diabetes.",Progesterone,"Skin, lungs, bones, liver, uterus, teeth and gums, pancreas"," Cervical cancer, diabetes",Progesterone,Hormones,Pregnancy
Butamirate citrate is used to relieve dry cough (non-productive). Dry cough can be caused by a recent viral infection.,Butamirate Citrate,Lungs,Dry cough,,Antitussive,Viral infection
